LINK ID,Final_Congestion_Hour_0,Final_Congestion_Hour_1,Final_Congestion_Hour_2,Final_Congestion_Hour_3,Final_Congestion_Hour_4,Final_Congestion_Hour_5,Final_Congestion_Hour_6,Final_Congestion_Hour_7,Final_Congestion_Hour_8,Final_Congestion_Hour_9,Final_Congestion_Hour_10,Final_Congestion_Hour_11,Final_Congestion_Hour_12,Final_Congestion_Hour_13,Final_Congestion_Hour_14,Final_Congestion_Hour_15,Final_Congestion_Hour_16,Final_Congestion_Hour_17,Final_Congestion_Hour_18,Final_Congestion_Hour_19,Final_Congestion_Hour_20,Final_Congestion_Hour_21,Final_Congestion_Hour_22,Final_Congestion_Hour_23
1035992,0.37232389014531453,0.31227164979929606,0.22133540013246808,0.1741514970034536,0.21704595439346677,0.27967186218288603,0.5095861537933568,0.7729581221680378,0.8793363764952705,0.9350991711022877,1.1058191115145402,1.0826561045239331,0.9762778501967003,1.0080197486653102,1.131555785948548,1.193323804590167,1.293696834882798,1.3031336155086009,1.2722496061877915,0.9985829680395072,0.9067888292248789,0.8553154803568631,0.7609476740988341,0.572212061582776
1035993,0.7194433154940066,0.6022925840438331,0.42587736491886596,0.3238873163622443,0.47135941359952155,0.7153085837957652,1.2693626313601152,1.6594056548942222,1.611167118414739,1.7558827278531886,1.6787010694860154,1.7848258497408784,1.631840776905946,1.8192819472262236,1.867520483705707,1.695239996278981,1.717291898669602,1.5312289722487382,1.489881655266324,1.1315382414187345,1.0722737537439408,1.0736519976433547,0.9937138514773539,0.9964703392761816
1035994,0.27545309162084475,0.22698080477047614,0.1878301115451784,0.1771102788763469,0.1920248286764603,0.30761258962733934,0.518746685235195,0.5569652190979856,0.5345933943978155,0.5658207330418029,0.529000438222773,0.5164162868289273,0.46374928284727673,0.5089590119288705,0.5056964541600957,0.5024338963913209,0.5345933943978155,0.5224753226852233,0.4595545657159948,0.42226819121571124,0.4185395537656829,0.3565509561589615,0.40875188045935845,0.28896940237719754
1035995,1.1062764847765927,0.5997884556017672,0.6531029849885909,0.40937942207739664,0.5826516425845738,0.6873766110229775,0.9406206256103904,1.1405501108109795,1.2224259952264587,1.3081100603124254,1.3233427829943751,1.3785614027164426,1.2490832599198707,1.266220072937064,1.3290550540001063,1.357616409028762,1.2490832599198707,1.3937941253983923,1.5023272745072833,1.1653032851691476,1.3899859447279048,1.420451390091804,1.277644614948526,1.0948519427651304
1035996,0.6528004088395035,0.543206179618273,0.43678859472229553,0.3764323525424874,0.5050864477152363,0.7878077926627585,1.3453088717446702,1.6423251161558312,1.5470257863982393,1.2960708847032478,1.3500738382325497,1.2960708847032478,1.0880006813991725,1.2182430987345478,1.1118255138385704,1.3071891398416335,1.072117459772907,1.092765647887052,1.2166547765719213,1.2182430987345478,0.9355217537870256,1.0562342381466419,0.9593465862264235,0.816397591590036
1035997,0.428281560896506,0.543110675049917,0.3522460663895176,0.3274181498158071,0.3631082798905159,0.46397169097121477,0.6315601278437606,0.8984602310111484,1.0319102825948423,1.0086341108069887,1.0288067930231284,1.0272550482372715,1.0458759856675544,1.132773693675541,1.0551864543826959,0.9558747880878539,1.0101858555928456,1.0613934335261235,0.9558747880878539,1.16846382375025,0.8177695021465893,0.7851828616435943,0.6812159609911815,0.591214763411481
1035998,0.40479902639567317,0.37057688648299547,0.22977722512797874,0.2630215896145799,0.37644353903945454,0.5465764631767664,0.7685314848961331,1.1185750874315221,1.1371528205269756,0.9983087100241119,0.9787532015025817,1.0168864431195654,0.8985756165643083,0.9904865066154999,0.9836420786329643,0.930842205624833,0.9855976294851173,0.9983087100241119,1.0129753414152594,0.6756428194188652,0.6130651921499688,0.5768875013851381,0.5250654038030833,0.4399989417344274
1035999,0.6974614590074211,0.6798173447170548,0.4525196370941006,0.49195942197844883,0.42864818834831087,0.5075277581170073,0.8936224943532582,1.1489432070256178,1.3264222390051847,1.5931597315124872,1.635713183624547,1.5039012709847517,2.092384377022263,1.5703261718426014,1.5433410558691,1.6450541853076823,1.6533572979149134,1.4592720407208841,1.2849066759690289,1.669963523129376,1.229898554946122,1.084594084319576,0.7753031397002137,0.7545453581821356
1036000,0.522545043257177,0.3885931413054641,0.28779765072793756,0.2572937522636861,0.2612725216285885,0.57824781436581,1.1618006545514898,1.5570250781317911,1.6445580041596433,1.6432317477046756,1.579571437866238,1.7267859043676252,1.6233379008801638,1.693629492993439,1.6114015927854568,1.431030714909883,1.3660441486164778,1.226787220844895,1.1379280383620756,1.086204036618345,1.1180341915375638,1.1432330641819455,1.1114029092627267,0.8925705941930967
1036001,0.19974393198562318,0.1755458785512415,0.13110945315355882,0.10691139971917717,0.14430839139049428,0.26309883552291335,0.4663624843717193,0.5728339194829987,0.5684342734040201,0.6014316189963588,0.5789934239935685,0.53983657389066,0.5257577064379289,0.5138786620246869,0.49891986535616006,0.5138786620246869,0.5525955475196976,0.5547953705591868,0.5323571755563966,0.47208202427439133,0.4144466606397732,0.3348130666102626,0.28949671199678423,0.24814003885438649
1036002,0.2518220408414382,0.2152503751590717,0.17554399527535944,0.14785401983013904,0.13897232959299288,0.2215198035617631,0.3469083716155913,0.3913168228013221,0.5501423423361711,0.5135706766538045,0.540738199732134,0.5161829384882594,0.5073012482511131,0.5271544381929693,0.5355136760632245,0.5161829384882594,0.61544888819754,0.5856691032847557,0.5109584148193498,0.5349912236963336,0.5329014142287697,0.5579791278395354,0.49319503434505746,0.32183065800482563
1036003,0.6474318394216885,0.46523107586859036,0.3502500114904217,0.3184091013549288,0.47053789422450587,0.8278636635228148,1.0348295794035185,1.5778939911588692,1.6911061160850662,1.8715379401861925,1.652189448141686,1.592045506774644,1.5319015654076018,1.8025493015592913,1.7070265711528125,2.080272795518868,2.112113705654361,2.14041673688591,1.8255455144349249,1.335549286238729,1.1586553410415463,1.2453333741881658,1.1568864015895746,0.8809318470819696
1036004,0.5083998021389823,0.4796695921900963,0.3285237050676962,0.23608737740606303,0.35975219414257226,0.4234583118553194,0.793203622501852,1.7725290398899654,2.20722960781224,1.7725290398899654,1.6163865945155849,1.7275600156221438,1.6638538979093966,1.7313074343111288,2.1397760714105076,1.8737093444925637,1.6088917571376147,1.6326254088345205,1.7388022716890992,1.6913349682952876,1.0205470229669498,0.9755779986991282,0.9943150921440538,0.8831416710374951
