최종_역사명,04-05시 승차일평균,04-05시 하차일평균,05-06시 승차일평균,05-06시 하차일평균,06-07시 승차일평균,06-07시 하차일평균,07-08시 승차일평균,07-08시 하차일평균,08-09시 승차일평균,08-09시 하차일평균,09-10시 승차일평균,09-10시 하차일평균,10-11시 승차일평균,10-11시 하차일평균,11-12시 승차일평균,11-12시 하차일평균,12-13시 승차일평균,12-13시 하차일평균,13-14시 승차일평균,13-14시 하차일평균,14-15시 승차일평균,14-15시 하차일평균,15-16시 승차일평균,15-16시 하차일평균,16-17시 승차일평균,16-17시 하차일평균,17-18시 승차일평균,17-18시 하차일평균,18-19시 승차일평균,18-19시 하차일평균,19-20시 승차일평균,19-20시 하차일평균,20-21시 승차일평균,20-21시 하차일평균,21-22시 승차일평균,21-22시 하차일평균,22-23시 승차일평균,22-23시 하차일평균,23-24시 승차일평균,23-24시 하차일평균,00-01시 승차일평균,00-01시 하차일평균,01-02시 승차일평균,01-02시 하차일평균,02-03시 승차일평균,02-03시 하차일평균,03-04시 승차일평균,03-04시 하차일평균,호선명,위도,경도
4.19민주묘지,0.172046645259422,0.041237113402061855,44.206523576136554,10.756464424539462,99.87155653202636,33.85229001183032,256.6513435862768,60.49078925130979,294.821700185905,257.3439242859557,200.86935947270578,166.2913638668244,164.09058644583402,181.44532702382963,170.541828629373,208.96197397329726,188.75038026026704,171.67179313841476,198.6881865810377,166.63985127598446,200.1494000338009,166.17137062700692,211.11678215311812,156.07537603515294,252.7808010816292,169.36826094304544,246.138583741761,189.9462565489268,186.4522562109177,236.8899780294068,107.9249619739733,239.82660131823562,83.4537772519858,145.6917356768633,65.46526956227818,126.445834037519,42.3008281223593,111.24590163934427,16.959607909413553,79.54943383471354,3.2905188440087882,17.626161906371472,0.0077742099036673985,0.10309278350515463,0.0013520365049856345,0.018928511069798884,0.0,0.0,우이신설선,37.649502,127.013684
가능,13.807853602744949,0.20434616850934045,264.05210318973184,53.301817257593086,412.8364468166222,138.5578853729826,831.227856144364,200.2564493582412,777.6403609098996,533.8731732113356,494.51416952598805,276.0726903037235,420.8229762358622,226.3591307662981,386.5675435252256,228.05667810395224,384.6354047528276,241.67696022366246,342.2490786631084,280.6315923243106,306.71266997077134,267.38569068496633,304.1451264455458,323.6670479095183,330.6476045240818,398.77061888422924,404.8229762358622,493.89223535392046,341.08832126064306,658.1242851696531,222.62472995298003,652.9139661964672,167.7196594230525,442.37082221375016,143.9712797051722,332.4798576693354,106.6783581141187,330.46714957427884,46.59016393442623,224.2996568814335,4.375651289871649,70.15173465497523,0.002033295209048164,0.04676578980810777,0.0,0.0,0.0,0.0,경원선,37.748577,127.044213
가락시장,2.7749396365484813,0.12962256957682045,182.30448595755496,97.656627271572,405.83403227856144,393.8314906595501,1028.6798830855255,799.3892489515822,1217.0664633371457,2188.010166476045,906.1192019316304,1050.1593595120091,803.7249968229762,730.9177786249841,816.5162028211971,727.1556741644426,815.1691447452026,739.7687126699707,845.0626509086287,785.2748760960733,862.3812428516965,801.2832634388105,936.5436523065192,869.5432710636676,997.3023255813953,955.63146524336,1225.5481001397889,1133.8330156309569,1805.6342610242725,1493.8510611259371,868.230779006227,1171.7196594230527,684.5057821832507,776.8672004066591,672.6214258482653,681.1513534121236,522.9437031388994,611.9250222391663,222.53551912568304,371.6713686618376,35.35112466641251,138.79578091244122,0.18121743550641758,15.061380099123141,0.0025416190113102047,0.2063794637183886,0.0,0.0,"3호선, 8호선",37.492888,127.118398
가산디지털단지,65.82437412631847,0.33956029991104336,499.5043842927945,237.1765154403355,576.1926547210574,1179.0214766806457,1201.3800991231415,5551.287075867327,1295.243868344135,17750.875079425594,1015.3226585334859,8916.795018426737,949.7755750413014,2590.4086923370187,1118.529673401957,1812.4882450120726,1383.4616850934044,1735.4972677595629,1630.0935315796162,1815.8670733257086,1783.2148938874066,1690.3649764900242,2191.5819036726393,1613.0636675562334,2939.9118058203076,1645.7720167746857,7156.960223662473,1861.1246664125047,13529.849790316432,2133.6680645571228,6220.029482780531,1656.073198627526,3594.2028211971024,968.6707332570847,3142.350743423561,863.8802897445672,1799.6024907866313,773.40449866565,735.654848138264,481.52446308298386,63.50082602617868,119.88181471597406,0.0920066082094294,0.3515059092642013,0.006354047528275512,0.039395094675308176,0.0,0.0,"7호선, 경부선",37.480338,126.882656
가양,2.572372601347058,0.008641504638454697,478.00787901893506,49.718896937349086,893.9247680772652,294.5622061253018,2492.7172448849915,796.7749396365485,2481.0540094039907,1470.5810141059856,1417.5821578345406,869.4487228364469,1058.104460541365,610.2262040920066,1009.862244249587,602.316177405007,1053.5895285296733,661.6609480238913,993.9118058203076,777.3206252382768,890.8105223027068,828.0027957809124,919.6700978523319,946.1324183504893,1038.6366755623333,1111.2337018680898,1243.2631846486213,1347.350108018808,1496.4409708984622,2108.6389630194435,744.7378319989833,2054.913966196467,534.7035201423307,1296.5167111449994,471.5503875968992,1166.7599440843817,342.4341085271318,1127.6807726521795,139.47998475028595,738.8982081585971,20.106493836573897,214.53373999237513,0.07141949421781675,12.069640360909899,0.0007624857033930614,0.02846613292667429,0.0,0.0002541619011310205,9호선,37.561391,126.854456
가오리,0.22511407808010814,0.03650498563461214,78.375866148386,11.288152780125063,188.3065742775055,43.84721987493662,520.6030082812235,85.57748859219198,551.1296264999155,172.02366063883724,352.7878992732804,132.1973973297279,262.021970593206,133.0458002366064,237.02382964340038,143.67652526618218,233.3554165962481,166.4100050701369,224.10816292039885,180.07672807165793,189.01030927835052,192.0794321446679,182.3728240662498,239.13233057292547,183.71979043434172,292.2156498225452,185.7275646442454,309.880682778435,153.66841304715228,427.46391752577324,106.97042420145344,418.69967889133005,71.1157681257394,253.82423525435186,51.361500760520535,220.23728240662498,36.23153625147879,190.92580699678894,16.199425384485384,112.97853642048335,3.386175426736522,26.612810545884738,0.008450228156160216,0.10985296603008282,0.001014027378739226,0.02535068446848065,0.0,0.0,우이신설선,37.641537,127.016789
가좌,0.1603761596136739,0.016012199771254287,85.42864404625746,8.123268522048544,226.4579997458381,94.47782437412631,618.533485830474,120.0744694370314,730.7942559410344,272.9726775956284,357.53005464480873,234.8039140932774,272.0670987418986,188.1794383021985,249.97865040030499,175.4708349218452,264.1123395602999,201.90392680137248,235.97763375270048,242.59372220104208,224.3980175371712,239.48659295971532,237.07510484178422,267.71355953742534,270.68801626636167,316.58508069640357,280.3451518617359,385.38924895158215,282.2188333968738,519.5925784724869,171.48760960731985,462.06049053246915,126.71851569449738,270.0457491422036,106.91828694878639,214.7980683695514,83.72042190875588,188.36980556614563,33.17499046892871,148.06760706570086,0.9701359766171052,23.362816113864532,0.004320752319227348,0.050324056423942054,0.0,0.0,0.0,0.0,경의선,37.568491,126.915487
가천대,0.8679628923624348,0.07167365611894777,162.55432710636677,27.516075740246535,230.57796416317194,121.08425467022494,591.866056678104,202.82475536917016,838.8951582157835,945.012581014106,509.3757783708222,876.1504638454695,350.66615834286443,709.0931503367644,370.6933536662854,384.1685093404499,472.78536027449485,558.3611640615072,452.04524081840134,472.6389630194434,512.2488245012073,403.75803787012325,593.4395730080062,374.10318973185923,792.500444783327,428.8466132926674,819.8805439064683,538.8062015503875,597.3010547718898,769.3767950184267,387.8548735544542,685.6002033295209,301.91256830601094,505.61240310077517,275.22811030626514,518.9632736052865,243.98246282882195,537.115516584064,134.5660185538188,373.87317321133565,6.155038759689923,48.59168890583302,0.013470580759944084,0.032278561443639595,0.0,0.0,0.0,0.0,분당선,37.448605,127.126697
가평,0.041428389884356334,0.0007624857033930614,22.59067225822849,4.986910662091753,48.95437793874698,34.6193925530563,97.54022112085397,88.38632608971915,129.9761087812937,197.67162282373872,103.10560426991994,166.13038505528021,126.44783326979287,173.97992120981067,232.46409963146525,212.82323039776338,158.18096327360527,248.04854492311603,130.74215275130257,177.3079171432202,145.1216164696912,180.68750794255942,176.16444275003178,156.94827805311982,211.68102681408055,106.67378319989834,239.5224297877748,125.94942178167493,206.31185665268777,113.5854619392553,98.71444910407929,111.6370568051849,69.22531452535264,70.67149574278815,50.270174100902274,55.73338416571356,27.36840767568941,48.936078281865555,10.54034820180455,37.947388486465876,0.43182107002160375,12.349218452154023,0.0007624857033930614,0.0,0.0,0.0,0.0,0.0,경춘선,37.814536,127.510739
간석,11.642648367009784,0.26178675816495106,184.03049942813573,40.95285296734019,385.69475155674166,86.39928834667684,841.7046638708857,143.04180963273603,722.8095056551023,302.9785233193544,416.09480238912187,193.07510484178422,327.6627271571992,176.22010420637946,313.2133689159995,189.19151099250223,322.41072563222775,218.19138391155164,308.72741136103696,244.80086415046384,266.86491294954885,254.76756894141567,268.1397890456221,295.4215275130258,302.6171050959461,376.44376667937473,311.61799466260004,474.00203329520906,325.60884483415936,629.7580378701233,194.6160884483416,628.3273605286568,155.82005337399926,408.89287075867327,139.09975854619393,351.36383276146904,102.8595755496251,325.3490913712035,53.22124793493455,226.8758419112975,4.60261786758165,80.50705299275639,0.004829076121489389,0.09429406531960859,0.0,0.0007624857033930614,0.0,0.0,경인선,37.464737,126.694181
