apt_name,address,build_year,total_households,total_floor_area,prop_under_60,prop_60_to_85,prop_85_to_135,prop_over_135,latitude,longitude
전농우성,서울특별시 동대문구 사가정로 190,1992,1234,139069.0,41.3,19.4,39.2,0.0,37.5772753,127.0649702
신내5단지대림두산,서울특별시 중랑구 신내로21길 16,1995,1244,272760.0,0.0,0.0,100.0,0.0,37.6170175,127.0893092
반포미도아파트,서울특별시 서초구 서초중앙로29길 28,1987,1260,148621.0,0.0,100.0,0.0,0.0,37.5022696,127.008831
금호두산,서울특별시 성동구 동호로 100,1994,1267,144394.0,26.4,42.2,31.3,0.0,37.5506428,127.0164657
오금현대아파트,서울특별시 송파구 오금로35길 17,1984,1316,202978.0,0.0,27.7,51.1,21.3,37.5048491,127.1257434
문정시영,서울특별시 송파구 송이로31길 56,1989,1316,81117.0,100.0,0.0,0.0,0.0,37.490605,127.1354526
하계현대우성,서울특별시 노원구 섬밭로 232,1988,1320,147781072.0,0.0,79.5,20.5,0.0,37.6367077,127.0663518
고덕주공9단지,서울특별시 강동구 상암로 251,1985,1320,141846.0,0.0,100.0,0.0,0.0,37.54796,127.1498653
중계주공3단지,서울특별시 노원구 덕릉로 662,1991,1455,64137.0,100.0,0.0,0.0,0.0,37.6566663,127.0756379
서빙고신동아,서울특별시 용산구 이촌로 347,1984,1326,219462.0,0.0,0.0,19.6,80.4,37.5180956,126.9874041
신대방우성1차,서울특별시 동작구 여의대방로 22,1988,1335,178768.0,0.0,47.6,39.0,13.5,37.4922794,126.9116108
미성아파트(불광동),서울특별시 은평구 통일로 780,1988,1340,157033.0,0.0,86.6,13.4,0.0,37.6149349,126.9283299
목동8단지,서울특별시 양천구 목동서로 280,1987,1352,128390.0,61.7,20.6,17.8,0.0,37.5218999,126.8683514
잠실아시아선수촌,서울특별시 송파구 올림픽로4길 15,1986,1356,236718.0,0.0,0.0,46.9,53.1,37.5074435,127.0767086
면목2동한신아파트,서울특별시 중랑구 중랑천로 20,1987,1362,90595.0,74.3,25.7,0.0,0.0,37.5875092,127.0754781
방화5단지,서울특별시 강서구 금낭화로 287-19,1994,1372,85690.0,100.0,0.0,0.0,0.0,37.5770617,126.8103825
목동4단지,서울특별시 양천구 목동서로 130,1986,1382,133219.0,43.0,17.4,32.7,6.9,37.5320037,126.8711975
공릉1단지,서울특별시 노원구 동일로 1127,1994,1395,60621.0,100.0,0.0,0.0,0.0,37.6301175,127.0701578
수서까치마을,서울특별시 강남구 광평로19길 10,1993,1403,83491.0,100.0,0.0,0.0,0.0,37.4847039,127.0877692
번동1단지주공아파트,서울특별시 강북구 한천로105길 23,1991,1430,107672.0,69.2,30.8,0.0,0.0,37.6247516,127.0472779
수유벽산,서울특별시 강북구 삼각산로 143-1,1993,1454,173083.0,0.0,65.6,34.4,0.0,37.6419753,127.017972
가양6단지,서울특별시 강서구 허준로 175,1992,1476,104835.0,100.0,0.0,0.0,0.0,37.5632285,126.8593109
쌍문삼익,서울특별시 도봉구 해등로 195,1988,1541,120324.0,71.1,28.9,0.0,0.0,37.657078,127.0367266
사당극동,서울특별시 동작구 동작대로29길 119,1993,1550,177942.0,30.7,23.2,46.1,0.0,37.4886826,126.9764363
가양3단지(강변),서울특별시 강서구 허준로 139,1992,1556,98090.0,100.0,0.0,0.0,0.0,37.5652229,126.8556837
방화2단지,서울특별시 강서구 방화대로48길 40,1993,1563,67595.0,100.0,0.0,0.0,0.0,37.5746696,126.8195884
신반포한신2차,서울특별시 서초구 신반포로23길 41,1978,1572,163131.0,0.0,39.7,44.3,16.0,37.5092254,127.0010246
여의도시범아파트,서울특별시 영등포구 63로 45,1971,1584,171413.0,0.0,56.1,22.7,21.2,37.5205064,126.9385984
목동3단지,서울특별시 양천구 목동서로 100,1986,1588,196853.0,0.0,40.7,45.5,13.8,37.5341913,126.8714975
상계벽산,서울특별시 노원구 한글비석로 396,1989,1590,118797.0,75.8,24.2,0.0,0.0,37.6614862,127.072822
목동11단지,서울특별시 양천구 목동동로 10,1988,1595,140912.0,47.6,52.4,0.0,0.0,37.511398,126.859448
SH공사대치1단지,서울특별시 강남구 개포로109길 5,1991,1623,73357.0,100.0,0.0,0.0,0.0,37.4941776,127.07521
가양2단지,서울특별시 강서구 허준로 47,1992,1624,99589.0,100.0,0.0,0.0,0.0,37.5702365,126.8480726
대방대림,서울특별시 동작구 여의대방로44길 10,1993,1628,241528.0,35.0,35.0,18.3,11.7,37.507338,126.9246341
"쌍문한양2,3,4차",서울특별시 도봉구 해등로 231,1988,1635,117242.0,65.1,34.9,0.0,0.0,37.657183,127.032096
창동삼성,서울특별시 도봉구 노해로66길 21,1992,1668,191067.0,0.0,100.0,0.0,0.0,37.6490829,127.0485546
등촌주공1단지,서울특별시 강서구 강서로68길 36,1994,1670,74105.0,100.0,0.0,0.0,0.0,37.5649371,126.8425169
창동주공4단지,서울특별시 도봉구 덕릉로 349,1991,1710,104150.0,100.0,0.0,0.0,0.0,37.6454834,127.0472453
상계주공12단지,서울특별시 노원구 한글비석로 530,1988,1739,134728.0,79.3,20.7,0.0,0.0,37.6661694,127.0593426
개포대치2단지,서울특별시 강남구 개포로109길 9,1992,1753,105381.0,100.0,0.0,0.0,0.0,37.4946695,127.0755080
창동주공19단지,서울특별시 도봉구 노해로70길 54,1988,1764,176236.0,13.6,62.6,23.8,0.0,37.6494912,127.0531884
중계주공2단지,서울특별시 노원구 한글비석로14길 8,1992,1800,110267.0,100.0,0.0,0.0,0.0,37.6579558,127.0779964
SH성산아파트,서울특별시 마포구 월드컵로 207,1991,1807,84189.0,100.0,0.0,0.0,0.0,37.5643113,126.9014624
"잠실우성1,2,3차",서울특별시 송파구 올림픽로4길 42,1981,1842,233187.0,0.0,18.7,66.8,14.5,37.5068615,127.073165
목동5단지,서울특별시 양천구 목동동로 350,1986,1848,228521.0,0.0,28.4,57.1,14.4,37.5332441,126.8829057
목동12단지,서울특별시 양천구 목동동로 50,1988,1860,161791.0,25.3,74.7,0.0,0.0,37.5132319,126.8623246
하계 6단지 장미아파트,서울특별시 노원구 섬밭로 196,1989,1880,131294.0,78.3,21.7,0.0,0.0,37.6337068,127.0678724
중계경남롯데상아,서울특별시 노원구 섬밭로 265,1989,1890,184060.0,27.0,58.7,14.3,0.0,37.638983,127.0626385
압구정신현대,서울특별시 강남구 압구정로 151,1982,1924,296925.0,0.0,0.1,45.3,54.7,37.5262291,127.0244949
상계주공11단지,서울특별시 노원구 동일로227길 25,1988,1944,157743.0,65.4,34.6,0.0,0.0,37.6657377,127.0556395
하계극동건영벽산,서울특별시 노원구 섬밭로 229,1988,1980,169224.0,37.9,62.1,0.0,0.0,37.6355286,127.0648499
상계17단지,서울특별시 도봉구 덕릉로66길 17,1989,1980,107984.0,100.0,0.0,0.0,0.0,37.6441576,127.0533313
가양4단지,서울특별시 강서구 양천로57길 37,1992,1998,88203.0,100.0,0.0,0.0,0.0,37.5650258,126.8510376
월계주공1단지,서울특별시 노원구 초안산로1길 51,1992,2298,100682.0,100.0,0.0,0.0,0.0,37.6265297,127.0517313
월계주공2단지,서울특별시 노원구 초안산로1길 18,1992,2002,135018.0,91.0,9.0,0.0,0.0,37.6265297,127.0517313
상계주공2단지,서울특별시 노원구 동일로215길 23,1987,2029,153686.0,75.3,24.7,0.0,0.0,37.6503337,127.0600209
목동9단지,서울특별시 양천구 목동서로 340,1987,2030,250050.0,11.8,30.6,49.0,8.6,37.5187044,126.8613466
상계주공1단지,서울특별시 노원구 동일로213길 21,1988,2064,150894.0,78.4,21.6,0.0,0.0,37.646847,127.0590541
상계주공15단지,서울특별시 노원구 동일로227길 26,1988,2100,137241.0,100.0,0.0,0.0,0.0,37.6683012,127.055611
구로주공,서울특별시 구로구 구일로4길 65,1986,2126,186670.0,31.3,68.7,0.0,0.0,37.4935926,126.8755006
관악현대,서울특별시 관악구 관악로 304,1992,2134,245534.0,24.0,41.3,34.6,0.0,37.4920393,126.9583526
상계주공4단지,서울특별시 노원구 동일로 1362,1988,2136,154389.0,79.9,20.1,0.0,0.0,37.6504505,127.0634916
신월시영아파트,서울특별시 양천구 신월로 99,1988,2256,161114.0,100.0,0.0,0.0,0.0,37.5176143,126.8359615
상계주공14단지,서울특별시 노원구 동일로228길 23,1989,2265,163274.0,82.8,10.6,6.6,0.0,37.6688541,127.0594091
목동13단지,서울특별시 양천구 목동동로 100,1987,2280,275572.0,10.5,35.3,43.2,11.0,37.514173,126.8650104
중계주공5단지,서울특별시 노원구 중계로 230,1992,2328,174605.0,69.1,30.9,0.0,0.0,37.6532581,127.0766362
상계주공16단지,서울특별시 노원구 동일로227길 86,1988,2392,190602.0,90.0,10.0,0.0,0.0,37.6687238,127.0553293
명일삼익그린2차,서울특별시 강동구 고덕로 210,1983,2400,221766.0,31.9,50.6,17.5,0.0,37.5532919,127.148467
가양5단지,서울특별시 강서구 양천로57길 36,1992,2412,107846.0,100.0,0.0,0.0,0.0,37.5636713,126.8548294
중계무지개아파트,서울특별시 노원구 동일로208길 20,1991,2433,172371.0,100.0,0.0,0.0,0.0,37.6427243,127.0665685
대치미도맨션,서울특별시 강남구 삼성로 150,1983,2436,362381.0,0.0,25.3,55.2,19.5,37.4933854,127.067338
목동7단지,서울특별시 양천구 목동로 212,1986,2550,244025.0,28.2,47.1,24.7,0.0,37.5290303,126.869144
수서주공,서울특별시 강남구 광평로51길 49,1992,2565,116832.0,100.0,0.0,0.0,0.0,37.4903395,127.0997555
중계시영3단지목련,서울특별시 노원구 노원로 331,1991,2619,125080.0,100.0,0.0,0.0,0.0,37.6465111,127.069028
상계주공7단지,서울특별시 노원구 상계로1길 92,1988,2634,190485.0,90.9,9.1,0.0,0.0,37.6580044,127.060964
"잠원한신4지구(8차~11차,17차)",서울특별시 서초구 나루터로4길 39,1981,2640,227373.0,45.0,32.1,4.7,18.2,37.5116554,127.0123844
